- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.3  - - - 
Seed: 1791898323  Run: 3  Samples:  102826021   Time:  2970.12777686
dt   Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2513     1.883837    0.117611
0.5025     1.870084    0.243267
0.7538     1.847102    0.373509
1.0050     1.817323    0.496842
1.2563     1.780862    0.613121
1.5075     1.741342    0.714981
1.7588     1.690050    0.824744
2.0101     1.626351    0.939413
2.2613     1.560300    1.038810
2.5126     1.487177    1.133212
2.7638     1.408206    1.220611
3.0151     1.325935    1.298914
3.2663     1.239990    1.368646
3.5176     1.154016    1.427451
3.7688     1.060385    1.481428
4.0201     0.953973    1.532332
4.2714     0.848559    1.554477
4.5226     0.747848    1.562096
4.7739     0.636711    1.562058
5.0251     0.526604    1.550937
5.2764     0.411013    1.533764
5.5276     0.298998    1.502400
5.7789     0.194294    1.462715
6.0302     0.088156    1.406598
6.2814     -0.017264    1.339552
6.5327     -0.124702    1.262033
6.7839     -0.224315    1.178931
7.0352     -0.320227    1.099669
7.2864     -0.417995    1.013974
7.5377     -0.506345    0.923146
7.7889     -0.573675    0.828896
8.0402     -0.630782    0.732189
8.2915     -0.681730    0.636701
8.5427     -0.730042    0.538311
8.7940     -0.772246    0.438996
9.0452     -0.808124    0.339846
9.2965     -0.836153    0.246454
9.5477     -0.858121    0.156513
9.7990     -0.873267    0.075984
10.0503     -0.883045    -0.003032
10.3015     -0.887307    -0.078647
10.5528     -0.885481    -0.150893
10.8040     -0.879621    -0.209809
11.0553     -0.867986    -0.264316
11.3065     -0.851907    -0.310685
11.5578     -0.833123    -0.345360
11.8090     -0.809989    -0.374769
12.0603     -0.785035    -0.395728
12.3116     -0.757497    -0.411404
12.5628     -0.729028    -0.412769
12.8141     -0.695701    -0.412761
13.0653     -0.663083    -0.400618
13.3166     -0.629390    -0.382880
13.5678     -0.596547    -0.355657
13.8191     -0.561166    -0.320219
14.0704     -0.529220    -0.277270
14.3216     -0.498564    -0.231190
14.5729     -0.468406    -0.178595
14.8241     -0.440217    -0.120445
15.0754     -0.415975    -0.062659
15.3266     -0.392697    0.005489
15.5779     -0.373578    0.071144
15.8291     -0.358323    0.135991
16.0804     -0.345752    0.204563
16.3317     -0.337613    0.272483
16.5829     -0.332739    0.340313
16.8342     -0.332575    0.406878
17.0854     -0.334831    0.471050
17.3367     -0.342453    0.532809
17.5879     -0.354481    0.588355
17.8392     -0.369804    0.642324
18.0905     -0.385400    0.692361
18.3417     -0.404629    0.735501
18.5930     -0.425617    0.770624
18.8442     -0.452681    0.796323
19.0955     -0.484290    0.813201
19.3467     -0.517124    0.822945
19.5980     -0.548147    0.827190
19.8492     -0.580982    0.821770
20.1005     -0.617693    0.805321
20.3518     -0.655952    0.779165
20.6030     -0.691919    0.746295
20.8543     -0.728028    0.704430
21.1055     -0.766647    0.650404
21.3568     -0.802591    0.589126
21.6080     -0.834055    0.522810
21.8593     -0.866130    0.444925
22.1106     -0.892900    0.364037
22.3618     -0.916162    0.278592
22.6131     -0.937605    0.183503
22.8643     -0.954693    0.084837
23.1156     -0.967209    -0.021041
23.3668     -0.976085    -0.124129
23.6181     -0.981213    -0.229411
23.8693     -0.978997    -0.341418
24.1206     -0.970072    -0.453595
24.3719     -0.956646    -0.570154
24.6231     -0.931688    -0.687169
24.8744     -0.906530    -0.794365
25.1256     -0.874964    -0.901733
25.3769     -0.835031    -1.008284
25.6281     -0.789992    -1.106798
25.8794     -0.737504    -1.201365
26.1307     -0.675707    -1.290009
26.3819     -0.609439    -1.375489
26.6332     -0.541852    -1.449836
26.8844     -0.462501    -1.517957
27.1357     -0.379368    -1.576891
27.3869     -0.292766    -1.625785
27.6382     -0.204904    -1.664923
27.8894     -0.111063    -1.695147
28.1407     -0.018538    -1.715639
28.3920     0.093306    -1.726126
28.6432     0.196199    -1.725936
28.8945     0.302065    -1.715218
29.1457     0.414634    -1.692986
29.3970     0.518630    -1.662330
29.6482     0.622146    -1.622194
29.8995     0.724662    -1.573083
30.1508     0.829808    -1.512858
30.4020     0.936075    -1.441423
30.6533     1.035038    -1.363695
30.9045     1.127901    -1.279952
31.1558     1.222887    -1.182613
31.4070     1.305945    -1.085028
31.6583     1.380147    -0.986407
31.9095     1.452211    -0.878124
32.1608     1.512293    -0.775429
32.4121     1.568730    -0.664803
32.6633     1.617522    -0.553553
32.9146     1.660699    -0.433592
33.1658     1.693834    -0.321125
33.4171     1.719833    -0.203126
33.6683     1.736506    -0.084863
33.9196     1.744554    0.035088
34.1709     1.743100    0.142793
34.4221     1.732945    0.248157
34.6734     1.715897    0.344150
34.9246     1.691632    0.437881
35.1759     1.660731    0.523182
35.4271     1.620892    0.604732
35.6784     1.573928    0.680303
35.9296     1.515719    0.756154
36.1809     1.455010    0.817850
36.4322     1.388169    0.871453
36.6834     1.311249    0.921690
36.9347     1.229973    0.960222
37.1859     1.143586    0.991274
37.4372     1.052135    1.016101
37.6884     0.959009    1.028875
37.9397     0.858080    1.039491
38.1910     0.748446    1.045735
38.4422     0.635650    1.040126
38.6935     0.528419    1.023857
38.9447     0.422431    0.999127
39.1960     0.317036    0.969903
39.4472     0.211248    0.935978
39.6985     0.104423    0.895733
39.9497     0.004053    0.851963
40.2010     -0.094938    0.802127
40.4523     -0.186746    0.750702
40.7035     -0.278343    0.695438
40.9548     -0.362731    0.638777
41.2060     -0.445944    0.577178
41.4573     -0.519350    0.517344
41.7085     -0.583543    0.461335
41.9598     -0.644065    0.402096
42.2111     -0.699275    0.341787
42.4623     -0.745972    0.286545
42.7136     -0.784038    0.231769
42.9648     -0.815199    0.175117
43.2161     -0.837779    0.123662
43.4673     -0.852099    0.074961
43.7186     -0.858012    0.036660
43.9698     -0.856175    0.002501
44.2211     -0.847192    -0.027635
44.4724     -0.830883    -0.051513
44.7236     -0.808206    -0.070003
44.9749     -0.780154    -0.083845
45.2261     -0.747003    -0.089805
45.4774     -0.708509    -0.086838
45.7286     -0.664394    -0.080454
45.9799     -0.615485    -0.067126
46.2312     -0.562700    -0.046891
46.4824     -0.508113    -0.018735
46.7337     -0.451939    0.012055
46.9849     -0.395749    0.047084
47.2362     -0.338947    0.087989
47.4874     -0.284068    0.130715
47.7387     -0.227668    0.180521
47.9899     -0.172872    0.233248
48.2412     -0.119884    0.289638
48.4925     -0.067365    0.349455
48.7437     -0.022174    0.406717
48.9950     0.020626    0.465792
49.2462     0.059198    0.526545
49.4975     0.090588    0.586070
49.7487     0.118427    0.644684
50.0000     0.138867    0.701398
