dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
 49.5000   -0.240805   -0.772670   -0.240805   -0.772670
 50.0000    0.037096   -0.825396    0.037096   -0.825396
 50.5000    0.335840   -0.756478    0.335840   -0.756478
 51.0000    0.601410   -0.571906    0.601410   -0.571906
 51.5000    0.783322   -0.298701    0.783322   -0.298701
 52.0000    0.845347    0.019903    0.845347    0.019903
 52.5000    0.773412    0.332584    0.773412    0.332584
 53.0000    0.578895    0.589644    0.578895    0.589644
 53.5000    0.296523    0.752305    0.296523    0.752305
 54.0000   -0.022690    0.799660   -0.022690    0.799660
 54.5000   -0.321933    0.731878   -0.321933    0.731878
 55.0000   -0.550206    0.569113   -0.550206    0.569113
 55.5000   -0.672501    0.346441   -0.672501    0.346441
 56.0000   -0.676344    0.106063   -0.676344    0.106063
 56.5000   -0.573302   -0.111503   -0.573302   -0.111503
 57.0000   -0.395239   -0.275293   -0.395239   -0.275293
 57.5000   -0.186253   -0.369196   -0.186253   -0.369196
 58.0000    0.007766   -0.393630    0.007766   -0.393630
 58.5000    0.149525   -0.363422    0.149525   -0.363422
 59.0000    0.218290   -0.302558    0.218290   -0.302558
 59.5000    0.213618   -0.237168    0.213618   -0.237168
 60.0000    0.154093   -0.188483    0.154093   -0.188483
 60.5000    0.071478   -0.167459    0.071478   -0.167459
 61.0000    0.001762   -0.172320    0.001762   -0.172320
 61.5000   -0.024672   -0.189578   -0.024672   -0.189578
 62.0000    0.008640   -0.198236    0.008640   -0.198236
 62.5000    0.099504   -0.176104    0.099504   -0.176104
 63.0000    0.227073   -0.106676    0.227073   -0.106676
 63.5000    0.356655    0.015172    0.356655    0.015172
 64.0000    0.448203    0.180121    0.448203    0.180121
 64.5000    0.466487    0.364848    0.466487    0.364848
 65.0000    0.390510    0.536007    0.390510    0.536007
 65.5000    0.219874    0.656992    0.219874    0.656992
 66.0000   -0.023520    0.696007   -0.023520    0.696007
 66.5000   -0.298964    0.633650   -0.298964    0.633650
 67.0000   -0.554979    0.468262   -0.554979    0.468262
 67.5000   -0.740131    0.217749   -0.740131    0.217749
 68.0000   -0.814248   -0.082662   -0.814248   -0.082662
