- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.3  - - - 
Seed: 984497466  Run: 2  Samples:  102826021   Time:  3029.38264894
dt   Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2513     1.883802    0.118114
0.5025     1.869921    0.246135
0.7538     1.846446    0.378146
1.0050     1.815223    0.505224
1.2563     1.778441    0.620745
1.5075     1.738826    0.721394
1.7588     1.686520    0.832411
2.0101     1.622954    0.945706
2.2613     1.556469    1.044483
2.5126     1.481937    1.140054
2.7638     1.398914    1.230765
3.0151     1.316931    1.306922
3.2663     1.231057    1.375131
3.5176     1.144408    1.433136
3.7688     1.054390    1.482924
4.0201     0.944669    1.534055
4.2714     0.840748    1.554128
4.5226     0.742324    1.559832
4.7739     0.632822    1.557734
5.0251     0.529916    1.542958
5.2764     0.410130    1.527120
5.5276     0.295313    1.495819
5.7789     0.191505    1.454562
6.0302     0.082550    1.398219
6.2814     -0.020428    1.332109
6.5327     -0.125866    1.255315
6.7839     -0.223133    1.172336
7.0352     -0.320765    1.092914
7.2864     -0.420329    1.008006
7.5377     -0.510101    0.917001
7.7889     -0.579410    0.824139
8.0402     -0.634362    0.729097
8.2915     -0.686051    0.631462
8.5427     -0.733182    0.533696
8.7940     -0.774186    0.435045
9.0452     -0.809444    0.335623
9.2965     -0.836398    0.244217
9.5477     -0.858055    0.154337
9.7990     -0.873206    0.073081
10.0503     -0.882489    -0.004839
10.3015     -0.886519    -0.080298
10.5528     -0.884575    -0.151575
10.8040     -0.878715    -0.209980
11.0553     -0.867015    -0.264565
11.3065     -0.850964    -0.310704
11.5578     -0.830830    -0.348712
11.8090     -0.808814    -0.375585
12.0603     -0.784711    -0.394211
12.3116     -0.756797    -0.410248
12.5628     -0.729051    -0.412107
12.8141     -0.696120    -0.411415
13.0653     -0.664538    -0.397213
13.3166     -0.631031    -0.379043
13.5678     -0.597825    -0.352074
13.8191     -0.562347    -0.316714
14.0704     -0.531108    -0.274970
14.3216     -0.500593    -0.230837
14.5729     -0.470039    -0.177896
14.8241     -0.442683    -0.119793
15.0754     -0.418410    -0.061958
15.3266     -0.394941    0.008404
15.5779     -0.375823    0.076177
15.8291     -0.360659    0.142572
16.0804     -0.349151    0.209315
16.3317     -0.341535    0.278415
16.5829     -0.338707    0.342758
16.8342     -0.338646    0.409990
17.0854     -0.341428    0.473183
17.3367     -0.349289    0.534660
17.5879     -0.360940    0.589025
17.8392     -0.375006    0.644016
18.0905     -0.389986    0.694590
18.3417     -0.411305    0.735450
18.5930     -0.429703    0.773263
18.8442     -0.458286    0.797524
19.0955     -0.491604    0.813397
19.3467     -0.526944    0.821098
19.5980     -0.556003    0.826525
19.8492     -0.591098    0.819505
20.1005     -0.629442    0.801367
20.3518     -0.668423    0.773815
20.6030     -0.704313    0.740285
20.8543     -0.737879    0.700151
21.1055     -0.774873    0.647193
21.3568     -0.810943    0.585447
21.6080     -0.842792    0.517746
21.8593     -0.875861    0.437056
22.1106     -0.902799    0.354544
22.3618     -0.925627    0.267846
22.6131     -0.945992    0.173022
22.8643     -0.961660    0.079260
23.1156     -0.973690    -0.024821
23.3668     -0.982255    -0.127745
23.6181     -0.987641    -0.232581
23.8693     -0.985114    -0.344636
24.1206     -0.976638    -0.452205
24.3719     -0.964411    -0.568351
24.6231     -0.940191    -0.683739
24.8744     -0.916088    -0.790424
25.1256     -0.885594    -0.897496
25.3769     -0.846403    -1.003143
25.6281     -0.798979    -1.104287
25.8794     -0.745518    -1.199182
26.1307     -0.682984    -1.287043
26.3819     -0.614983    -1.373713
26.6332     -0.545828    -1.448360
26.8844     -0.465555    -1.516069
27.1357     -0.385980    -1.574580
27.3869     -0.302123    -1.623413
27.6382     -0.214276    -1.663234
27.8894     -0.118820    -1.693479
28.1407     -0.023309    -1.714470
28.3920     0.091514    -1.725537
28.6432     0.197988    -1.725423
28.8945     0.306689    -1.714451
29.1457     0.417567    -1.692854
29.3970     0.515046    -1.664541
29.6482     0.614960    -1.626467
29.8995     0.717884    -1.578408
30.1508     0.826779    -1.517289
30.4020     0.931828    -1.447926
30.6533     1.032380    -1.369920
30.9045     1.125214    -1.286802
31.1558     1.220781    -1.189810
31.4070     1.306983    -1.089387
31.6583     1.381418    -0.990763
31.9095     1.457264    -0.876748
32.1608     1.517811    -0.772640
32.4121     1.573666    -0.662028
32.6633     1.620936    -0.554145
32.9146     1.663847    -0.434260
33.1658     1.697863    -0.316585
33.4171     1.723223    -0.201116
33.6683     1.739971    -0.080913
33.9196     1.747970    0.036868
34.1709     1.746619    0.144051
34.4221     1.736855    0.248732
34.6734     1.720224    0.345354
34.9246     1.695077    0.444636
35.1759     1.664791    0.529581
35.4271     1.625930    0.611069
35.6784     1.577601    0.691743
35.9296     1.520905    0.767399
36.1809     1.460631    0.828885
36.4322     1.392314    0.885830
36.6834     1.316049    0.934614
36.9347     1.235514    0.975152
37.1859     1.152702    1.004560
37.4372     1.061073    1.032547
37.6884     0.967503    1.046533
37.9397     0.864706    1.057998
38.1910     0.757200    1.060340
38.4422     0.645284    1.055081
38.6935     0.539531    1.038975
38.9447     0.435050    1.014566
39.1960     0.328749    0.986638
39.4472     0.223305    0.953847
39.6985     0.114541    0.913878
39.9497     0.013856    0.871183
40.2010     -0.086006    0.822238
40.4523     -0.179286    0.771277
40.7035     -0.269893    0.718497
40.9548     -0.355125    0.663056
41.2060     -0.439538    0.602355
41.4573     -0.514722    0.542803
41.7085     -0.579584    0.488020
41.9598     -0.644812    0.424738
42.2111     -0.702571    0.362573
42.4623     -0.750529    0.304504
42.7136     -0.789909    0.247950
42.9648     -0.822004    0.190600
43.2161     -0.845927    0.136178
43.4673     -0.861117    0.087584
43.7186     -0.867950    0.046448
43.9698     -0.866807    0.011903
44.2211     -0.858446    -0.020640
44.4724     -0.842313    -0.046998
44.7236     -0.819380    -0.064612
44.9749     -0.791545    -0.082369
45.2261     -0.758133    -0.089869
45.4774     -0.718846    -0.088476
45.7286     -0.672883    -0.085633
45.9799     -0.623509    -0.078631
46.2312     -0.569022    -0.060132
46.4824     -0.513069    -0.035016
46.7337     -0.453991    -0.003802
46.9849     -0.395778    0.029133
47.2362     -0.336639    0.067503
47.4874     -0.278438    0.109289
47.7387     -0.218120    0.158479
47.9899     -0.158727    0.211385
48.2412     -0.102109    0.266860
48.4925     -0.047975    0.324629
48.7437     -0.001203    0.379909
48.9950     0.048773    0.441694
49.2462     0.090587    0.502526
49.4975     0.125786    0.562977
49.7487     0.156135    0.622607
50.0000     0.177048    0.678922
