- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.3  - - - 
Seed: 2332030591  Run: 5  Samples:  102826021   Time:  2892.25464106
dt   Re(C(t))    Im(C(t))
0.0000     1.888354    0.000000
0.2513     1.883880    0.120669
0.5025     1.869963    0.248984
0.7538     1.847481    0.372976
1.0050     1.817028    0.499143
1.2563     1.780706    0.614709
1.5075     1.738926    0.721807
1.7588     1.685819    0.834252
2.0101     1.623834    0.944709
2.2613     1.558055    1.043315
2.5126     1.488101    1.133191
2.7638     1.408119    1.221834
3.0151     1.324860    1.300894
3.2663     1.241973    1.367425
3.5176     1.156770    1.425789
3.7688     1.063914    1.480015
4.0201     0.960548    1.529663
4.2714     0.858558    1.550729
4.5226     0.756338    1.560752
4.7739     0.645932    1.561655
5.0251     0.534818    1.551152
5.2764     0.420990    1.533103
5.5276     0.308069    1.502169
5.7789     0.202146    1.462542
6.0302     0.090269    1.407298
6.2814     -0.019346    1.338893
6.5327     -0.123927    1.259476
6.7839     -0.222685    1.178379
7.0352     -0.319511    1.098737
7.2864     -0.417336    1.012088
7.5377     -0.507281    0.921263
7.7889     -0.573287    0.829015
8.0402     -0.631158    0.732326
8.2915     -0.684278    0.635056
8.5427     -0.732458    0.535232
8.7940     -0.774310    0.436115
9.0452     -0.809368    0.338444
9.2965     -0.837160    0.245350
9.5477     -0.858606    0.156528
9.7990     -0.874036    0.071852
10.0503     -0.883507    -0.007747
10.3015     -0.887352    -0.082955
10.5528     -0.885564    -0.151576
10.8040     -0.879553    -0.209585
11.0553     -0.868032    -0.263454
11.3065     -0.851860    -0.309666
11.5578     -0.832862    -0.344617
11.8090     -0.809993    -0.373103
12.0603     -0.785246    -0.393415
12.3116     -0.759028    -0.406082
12.5628     -0.730908    -0.408130
12.8141     -0.699320    -0.405135
13.0653     -0.667075    -0.392515
13.3166     -0.634031    -0.373497
13.5678     -0.601766    -0.344874
13.8191     -0.568109    -0.309997
14.0704     -0.536081    -0.268917
14.3216     -0.505330    -0.220001
14.5729     -0.475520    -0.166778
14.8241     -0.447771    -0.109196
