dt     Re(C(t))    Im(C(t))   |C(t)|^2   |C(t)|
0.0000     4.386505    0.000000    19.241427   4.386505
0.5000     3.021351    3.125182    18.895325   4.346875
1.0000     -0.137981    4.226793    17.884817   4.229044
1.5000     -2.993112    2.717941    16.345925   4.043009
2.0000     -3.795076    -0.238225    14.459352   3.802546
2.5000     -2.289794    -2.652344    12.278088   3.504010
3.0000     0.251027    -3.128438    9.850142   3.138494
3.5000     2.082904    -1.754579    7.417038   2.723424
4.0000     2.278982    0.189631    5.229720   2.286858
4.5000     1.218767    1.368428    3.357988   1.832481
5.0000     0.014219    1.357073    1.841851   1.357148
5.5000     -0.508902    0.729631    0.791344   0.889575
6.0000     -0.411635    0.322407    0.273390   0.522867
6.5000     -0.352076    0.386607    0.273422   0.522898
7.0000     -0.751630    0.433474    0.752847   0.867668
7.5000     -1.280476    -0.132730    1.657235   1.287336
8.0000     -1.148548    -1.259654    2.905892   1.704668
8.5000     0.067283    -2.095848    4.397108   2.096928
9.0000     1.804912    -1.663310    6.024307   2.454446
9.5000     2.772403    0.170671    7.715345   2.777651
10.0000     1.973798    2.346064    9.399896   3.065925
10.5000     -0.369763    3.284286    10.923258   3.305035
11.0000     -2.794260    2.085007    12.155146   3.486423
11.5000     -3.564199    -0.659722    13.138745   3.624741
12.0000     -1.996952    -3.144695    13.876926   3.725175
12.5000     0.929048    -3.643881    14.141003   3.760453
13.0000     3.254063    -1.799142    13.825840   3.718311
13.5000     3.452223    1.130416    13.195685   3.632587
14.0000     1.490799    3.190468    12.401565   3.521586
14.5000     -1.203362    3.120486    11.185515   3.344475
15.0000     -2.834016    1.198401    9.467813   3.076981
15.5000     -2.538352    -1.097680    7.648135   2.765526
16.0000     -0.872540    -2.283532    5.975847   2.444555
16.5000     0.811394    -1.910621    4.308835   2.075773
17.0000     1.485029    -0.685772    2.675595   1.635725
17.5000     1.136668    0.310070    1.388157   1.178201
18.0000     0.524565    0.567682    0.597431   0.772937
18.5000     0.313813    0.430300    0.283637   0.532575
19.0000     0.443384    0.544546    0.493120   0.702225
19.5000     0.280913    1.072963    1.230161   1.109126
20.0000     -0.611278    1.429230    2.416359   1.554464
20.5000     -1.835784    0.828302    4.056187   2.013998
21.0000     -2.326336    -0.825167    6.092740   2.468348
21.5000     -1.263340    -2.581250    8.258877   2.873826
22.0000     1.057163    -3.041977    10.371219   3.220438
22.5000     3.196642    -1.489153    12.436100   3.526485
23.0000     3.532827    1.355643    14.318632   3.783997
23.5000     1.547804    3.652685    15.737808   3.967091
24.0000     -1.613980    3.743183    16.616351   4.076316
24.5000     -3.872269    1.427380    17.031884   4.126970
25.0000     -3.692905    -1.817725    16.941672   4.116026
25.5000     -1.197133    -3.855282    16.296324   4.036871
26.0000     1.917247    -3.394202    15.196444   3.898262
26.5000     3.598760    -0.883682    13.731966   3.705667
27.0000     2.901128    1.879580    11.949364   3.456785
27.5000     0.563785    3.110038    9.990188   3.160726
28.0000     -1.679502    2.276434    8.002878   2.828936
28.5000     -2.440035    0.306845    6.047923   2.459252
29.0000     -1.596349    -1.293443    4.221324   2.054586
29.5000     -0.148598    -1.626406    2.667278   1.633180
30.0000     0.756721    -0.936554    1.449760   1.204060
30.5000     0.749934    -0.152693    0.585716   0.765321
31.0000     0.356129    0.056970    0.130073   0.360657
31.5000     0.303057    -0.152760    0.115179   0.339381
32.0000     0.718378    -0.096735    0.525424   0.724862
32.5000     0.985624    0.616869    1.351982   1.162748
33.0000     0.394517    1.549895    2.557817   1.599318
33.5000     -1.033852    1.728060    4.055042   2.013713
34.0000     -2.339319    0.544279    5.768651   2.401802
34.5000     -2.307980    -1.513945    7.618803   2.760218
35.0000     -0.549034    -3.026948    9.463853   3.076338
35.5000     1.976065    -2.694580    11.165598   3.341496
36.0000     3.530278    -0.444779    12.660691   3.558187
36.5000     2.884582    2.357057    13.876532   3.725122
37.0000     0.299162    3.816038    14.651642   3.827746
37.5000     -2.569214    2.875254    14.867949   3.855898
38.0000     -3.816041    0.125108    14.577823   3.818092
38.5000     -2.663916    -2.599900    13.855927   3.722355
39.0000     0.006429    -3.557611    12.656635   3.557616
39.5000     2.369763    -2.316293    10.980990   3.313758
40.0000     3.005310    0.061150    9.035628   3.005932
40.5000     1.832795    1.923587    7.059325   2.656939
41.0000     -0.025654    2.266407    5.137258   2.266552
41.5000     -1.256199    1.326202    3.336847   1.826704
42.0000     -1.350143    0.141003    1.842768   1.357486
42.5000     -0.792703    -0.436890    0.819250   0.905124
43.0000     -0.400484    -0.393193    0.314988   0.561238
43.5000     -0.475683    -0.352777    0.350726   0.592221
44.0000     -0.561766    -0.784380    0.930833   0.964797
44.5000     -0.010185    -1.406549    1.978485   1.406586
45.0000     1.210727    -1.391276    3.401510   1.844318
45.5000     2.264022    -0.199251    5.165496   2.272773
46.0000     2.056675    1.709484    7.152248   2.674369
46.5000     0.262501    3.003104    9.087541   3.014555
47.0000     -2.158250    2.481501    10.815890   3.288752
47.5000     -3.519785    0.150814    12.411634   3.523015
48.0000     -2.671426    -2.586048    13.824162   3.718086
48.5000     0.038922    -3.843596    14.774747   3.843793
49.0000     2.871953    -2.632314    15.177193   3.895792
49.5000     3.888411    0.325461    15.225666   3.902008
50.0000     2.380844    3.046203    14.947769   3.866234
