dt     Re(C(t))    Im(C(t))   |C(t)|^2   |C(t)|
0.0000     7.169052    0.000000    51.395307   7.169052
0.5000     5.758823    4.138702    50.292905   7.091749
1.0000     2.162727    6.525163    47.255133   6.874237
1.5000     -2.028946    6.222186    42.832220   6.544633
2.0000     -5.020733    3.503726    37.483864   6.122407
2.5000     -5.614020    -0.306162    31.610955   5.622362
3.0000     -3.730613    -3.445813    25.791099   5.078494
3.5000     -0.434968    -4.533062    20.737847   4.553883
4.0000     2.589730    -3.213753    17.034912   4.127337
4.5000     3.862545    -0.304368    15.011897   3.874519
5.0000     2.805093    2.628811    14.779194   3.844372
5.5000     0.003511    4.030998    16.248959   4.031000
6.0000     -3.078234    3.116135    19.185823   4.380162
6.5000     -4.818269    0.260100    23.283368   4.825284
7.0000     -4.235881    -3.185033    28.087124   5.299729
7.5000     -1.458491    -5.546951    32.895862   5.735491
8.0000     2.336056    -5.615022    36.985632   6.081581
8.5000     5.443384    -3.213676    39.958150   6.321246
9.0000     6.419370    0.676336    41.665738   6.454900
9.5000     4.783862    4.356675    41.865956   6.470391
10.0000     1.256245    6.223982    40.316097   6.349496
10.5000     -2.603321    5.517923    37.224759   6.101210
11.0000     -5.123396    2.642608    33.232569   5.764770
11.5000     -5.273878    -1.037549    28.890292   5.374969
12.0000     -3.133052    -3.830615    24.489626   4.948699
12.5000     0.157887    -4.515482    20.414510   4.518242
13.0000     2.958365    -2.914006    17.243358   4.152512
13.5000     3.922019    0.052152    15.384950   3.922365
14.0000     2.631594    2.822252    14.890389   3.858807
14.5000     -0.204828    3.953140    15.669269   3.958443
15.0000     -3.100544    2.831640    17.631559   4.198995
15.5000     -4.533346    -0.020968    20.551666   4.533395
16.0000     -3.695030    -3.216864    24.001460   4.899128
16.5000     -0.871782    -5.172580    27.515588   5.245530
17.0000     2.679753    -4.850845    30.711777   5.541821
17.5000     5.297335    -2.271290    33.220521   5.763725
18.0000     5.706881    1.455173    34.686016   5.889483
18.5000     3.661625    4.644020    34.974421   5.913918
19.0000     0.065188    5.851910    34.249101   5.852273
19.5000     -3.467296    4.550439    32.728636   5.720895
20.0000     -5.357573    1.358188    30.548265   5.527049
20.5000     -4.789894    -2.241321    27.966606   5.288346
21.0000     -2.098432    -4.587239    25.446175   5.044420
21.5000     1.392260    -4.628841    23.364561   4.833690
22.0000     4.005483    -2.416507    21.883395   4.677969
22.5000     4.503419    0.933396    21.152014   4.599132
23.0000     2.668903    3.764835    21.297025   4.614870
23.5000     -0.583142    4.673736    22.183863   4.709975
24.0000     -3.648274    3.196866    23.529858   4.850759
24.5000     -5.020069    0.029680    25.201978   5.020157
25.0000     -4.003090    -3.326400    27.089667   5.204773
25.5000     -1.024641    -5.269852    28.821225   5.368540
26.0000     2.551777    -4.839961    29.936791   5.471452
26.5000     5.047981    -2.191115    30.283093   5.503008
27.0000     5.281990    1.454337    30.014518   5.478551
27.5000     3.150134    4.397132    29.258119   5.409077
28.0000     -0.335368    5.280925    28.000643   5.291563
28.5000     -3.536239    3.721788    26.356694   5.133877
29.0000     -4.951982    0.484037    24.756421   4.975582
29.5000     -3.929166    -2.869895    23.674646   4.865660
30.0000     -0.982359    -4.721178    23.254548   4.822297
30.5000     2.451356    -4.171223    23.408243   4.838207
31.0000     4.695084    -1.466651    24.194878   4.918829
31.5000     4.619931    2.108602    25.789970   5.078383
32.0000     2.193794    4.824010    28.083803   5.299415
32.5000     -1.477661    5.331908    30.612724   5.532877
33.0000     -4.677355    3.326734    32.944812   5.739757
33.5000     -5.899068    -0.318229    34.900272   5.907645
34.0000     -4.538729    -3.969885    36.360044   6.029929
34.5000     -1.167021    -5.975402    37.067364   6.088297
35.0000     2.711879    -5.418928    36.719075   6.059627
35.5000     5.349601    -2.568756    35.216732   5.934369
36.0000     5.589788    1.243471    32.791949   5.726425
36.5000     3.409004    4.270607    29.859394   5.464375
37.0000     -0.101490    5.173314    26.773481   5.174310
37.5000     -3.261370    3.628107    23.799690   4.878493
38.0000     -4.588716    0.468973    21.276250   4.612619
38.5000     -3.503200    -2.713596    19.636012   4.431254
39.0000     -0.596325    -4.342214    19.210429   4.382970
39.5000     2.664822    -3.603887    20.089281   4.482107
40.0000     4.633297    -0.830281    22.156809   4.707102
40.5000     4.261240    2.645315    25.155863   5.015562
41.0000     1.621812    5.109960    28.741965   5.361153
41.5000     -2.105277    5.304571    32.570669   5.707072
42.0000     -5.203044    3.033807    36.275654   6.022927
42.5000     -6.226161    -0.756940    39.338043   6.272005
43.0000     -4.652236    -4.420894    41.187602   6.417757
43.5000     -1.124006    -6.345943    41.534387   6.444718
44.0000     2.824684    -5.695763    40.420555   6.357716
44.5000     5.481470    -2.809149    37.937835   6.159370
45.0000     5.763637    0.975194    34.170517   5.845555
45.5000     3.698928    3.969770    29.441144   5.425969
46.0000     0.372574    4.920320    24.348364   4.934406
46.5000     -2.602117    3.569957    19.515603   4.417647
47.0000     -3.856120    0.757902    15.444076   3.929895
47.5000     -2.916404    -2.012838    12.556931   3.543576
48.0000     -0.404728    -3.322557    11.203187   3.347116
48.5000     2.290813    -2.514619    11.571135   3.401637
49.0000     3.690528    -0.007955    13.620062   3.690537
49.5000     2.953063    2.891220    17.079735   4.132764
50.0000     0.319756    4.628879    21.528760   4.639909
